Label2,
1880,Whitney
1882,Whitney
1890,Whitney
1891,Whitney
1892,Whitney
1893,Whitney
1894,Whitney
1895,Whitney
1896,Whitney
1897,Whitney
1898,Whitney
1899,Whitney
1900,Whitney
1901,Whitney
1902,Whitney
1903,Whitney
1904,Whitney
1905,Whitney
1906,Whitney
1907,Whitney
1908,Whitney
1909,Whitney
1910,Whitney
1911,Whitney
1912,Whitney
1913,Whitney
1914,Whitney
1915,Whitney
1916,Whitney
1917,Whitney
1918,Whitney
1919,Whitney
1920,Whitney
1921,Whitney
1922,Whitney
1923,Whitney
1924,Whitney
1925,Whitney
1926,Whitney
1927,Whitney
1928,Whitney
1929,Whitney
1930,Whitney
1931,Whitney
1932,Whitney
1933,Whitney
1934,Whitney
1935,Whitney
1936,Whitney
1937,Whitney
1938,Whitney
1939,Whitney
1940,Whitney
1941,Whitney
1942,Whitney
1943,Whitney
1944,Whitney
1945,Whitney
1945,Whitney
1946,Whitney
1947,Whitney
1948,Whitney
1949,Whitney
1950,Whitney
1951,Whitney
1952,Whitney
1953,Whitney
1954,Whitney
1955,Whitney
1956,Whitney
1957,Whitney
1958,Whitney
1959,Whitney
1960,Whitney
1961,Whitney
1962,Whitney
1963,Whitney
1964,Whitney
1965,Whitney
1965,Whitney
1966,Whitney
1967,Whitney
1968,Whitney
1969,Whitney
1970,Whitney
1971,Whitney
1972,Whitney
1973,Whitney
1974,Whitney
1975,Whitney
1976,Whitney
1977,Whitney
1978,Whitney
1979,Whitney
1980,Whitney
1981,Whitney
1982,Whitney
1983,Whitney
1984,Whitney
1985,Whitney
1986,Whitney
1987,Whitney
1988,Whitney
1989,Whitney
1990,Whitney
1991,Whitney
1992,Whitney
1993,Whitney
1994,Whitney
1995,Whitney
1996,Whitney
1997,Whitney
1998,Whitney
1999,Whitney
2000,Whitney
2001,Whitney
2002,Whitney
2003,Whitney
2004,Whitney
2005,Whitney
2006,Whitney
2007,Whitney
2008,Whitney
2009,Whitney
2010,Whitney
2011,Whitney
2012,Whitney
2012,Whitney
2013,Whitney
2014,Whitney
2015,Whitney
2016,Whitney
2017,Whitney
2018,Whitney
2019,Whitney
2020,Whitney
1870s,Whitney
1920s,Whitney
1925s,Whitney
1929s,Whitney
1930s,Whitney
1930ss,Whitney
1933s,Whitney
1940s,Whitney
1944s,Whitney
1950s,Whitney
1955s,Whitney
1960s,Whitney
1962s,Whitney
1963s,Whitney
1967s,Whitney
1970s,Whitney
1977s,Whitney
1980s,Whitney
1990s,Whitney
n.d,Whitney
Unknown,Whitney
